position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel,enwiki
Q2336111,President of the Palestinian National Authority,Q42620,Palestinian National Authority,,,1994-07-05,,,,,,,,Q30092671,Q30092671,President of the Palestinian National Authority
Q2344709,Prime Minister of the Palestinian National Authority,,,,,2003-03-19,2013-01-06,,,Q15041211,Prime Minister of the State of Palestine,,,,,Prime Minister of the Palestinian National Authority
Q3911022,President of the State of Palestine,Q219060,State of Palestine,,,1989-04-02,,,,,,,,Q30092671,Q30092671,President of the State of Palestine
Q4119581,Speaker of the Palestinian Legislative Council,,,,,,,,,,,,,,,Speaker of the Palestinian Legislative Council
Q5340906,Education Minister of the Palestinian National Authority,Q219060,State of Palestine,Q219060,State of Palestine,,,,,,,,,,,Palestinian Ministry of Education and Higher Education
Q6030745,Information Minister of the Palestinian National Authority,,,Q219060,State of Palestine,,,,,,,,,,,Ministry of Information (State of Palestine)
Q15041211,Prime Minister of the State of Palestine,Q219060,State of Palestine,Q219060,State of Palestine,2013-01-05,,Q2344709,Prime Minister of the Palestinian National Authority,,,,,,,Prime Minister of the State of Palestine
Q30303260,Palestinian Ambassador to China,Q148,People's Republic of China,,,,,,,,,,,Q106702083,list of ambassadors of Palestine to Chine,
Q30621639,Palestinian Ambassador to Chile,Q219060,State of Palestine,,,,,,,,,,,,,List of ambassadors of the State of Palestine to Chile
Q37202196,Minister of Youth and Sports,Q219060,State of Palestine,,,,,,,,,,,,,
Q40338377,General Commissioner of Palestine to Canada,Q219060,State of Palestine,,,,,,,,,,,,,
Q57329599,ambassador of Palestine to Spain,Q219060,State of Palestine,,,,,,,,,,,,,
Q64912939,Minister of Local Government,Q219060,State of Palestine,,,,,,,,,,,,,
Q70359193,Minister of Public Works and Housing,Q219060,State of Palestine,,,,,,,,,,,,,
Q80205571,Governor of Tulkarm Governorate,Q219060,State of Palestine,Q1093157,Tulkarm Governorate,1995-11-21,,,,,,,,,,
Q80205574,Governor of Salfit Governorate,Q219060,State of Palestine,Q926530,Salfit Governorate,,,,,,,,,,,
Q80205953,Governor of Qalqilya Governorate,Q219060,State of Palestine,Q1074443,Qalqilya Governorate,,,,,,,,,,,
Q80435579,Governor of Tubas Governorate,Q219060,State of Palestine,Q948228,Tubas Governorate,,,,,,,,,,,
Q80822035,Member of the Palestine National Council,Q219060,State of Palestine,Q219060,State of Palestine,1964-05-28,,,,,,,,,,
Q87277396,Prosecutor General (Palestine),Q219060,State of Palestine,Q219060,State of Palestine,,,,,,,,,,,
Q87278953,Q87278953,Q219060,State of Palestine,Q219060,State of Palestine,2010-01-01,,,,,,,,,,
Q87401933,Q87401933,Q219060,State of Palestine,Q219060,State of Palestine,,,,,,,,,,,
Q87743333,ministre du développement social,Q219060,State of Palestine,Q219060,State of Palestine,,,,,,,,,,,
